"","country","weighted_projected_emissions","tot_mit","pop","tot_mit_reverse","netto","impact","mitigation","enfcc","Unit","emissions_1990","score","score_net_null"
"14","Ireland",49388.5544029505,2935.30050690661,5011460,-2935.30050690661,52323.8549098571,0.0727332578761788,0.0351184407748515,0.922932086063271,"Tonnes of CO2 equivalent",55642836,29997.6956231105,-36998.552624581
"15","Italy",306741.372675589,-10989.263411443,59109666,10989.263411443,295752.109264146,0.469466238314544,0.628596530607297,0.548587919455651,"Tonnes of CO2 equivalent",521480338,-142132.073763211,-209128.322010903
"16","Latvia",9028.51438522338,957.781003028865,1884488,-957.781003028865,9986.29538825224,0.0105145533198474,0.1194021931889,0.988038819368966,"Tonnes of CO2 equivalent",26022704,59934.8710597264,-7061.37718796511
"17","Lithuania",16234.5946447573,-2436.35734525684,2795321,2436.35734525684,13798.2372995005,0.0216233871683824,0.264063581177731,0.982176812011981,"Tonnes of CO2 equivalent",48134543,57239.4210847935,-9756.82716289794
"18","Luxembourg",8649.65985653539,-242.139425658196,640064,242.139425658196,8407.52043087719,0.00993051430551753,0.170543937242349,0.990466660776478,"Tonnes of CO2 equivalent",12722412,61051.2335380538,-5945.0147096377
"19","Malta",2207.93212167991,0.255362781062144,516748,-0.255362781062144,2208.18748446097,0,0.160212842001463,1,"Tonnes of CO2 equivalent",2626431,65434.8239032979,-1561.42434439362
"20","Netherlands",138676.569780986,1725.1742964273,17533406,-1725.1742964273,140401.744077414,0.210378925392542,0.0866951649051508,0.787485836800027,"Tonnes of CO2 equivalent",221781035,-32282.7770798659,-99279.0253275574
"21","Poland",305193.754331921,-8037.88917932512,38162224,8037.88917932512,297155.865152596,0.46708044265011,0.502806168199624,0.546429222514016,"Tonnes of CO2 equivalent",474554322,-143124.679071064,-210120.927318756
"22","Portugal",51630.279582097,-2408.42013513315,10297876,2408.42013513315,49221.8594469639,0.0761890829089723,0.26287287084765,0.927702337197255,"Tonnes of CO2 equivalent",59473355,32191.1376501322,-34805.1105975593
"23","Romania",83227.8587487397,-19703.3700274354,19124061,19703.3700274354,63524.4887213043,0.124899650143324,1,0.905707742320819,"Tonnes of CO2 equivalent",257137183,22077.6515014489,-44918.5967462426
"24","Slovenia",13323.731045025,-1242.3036945263,2107007,1242.3036945263,12081.4273504987,0.0171360238695359,0.213171884752023,0.984816923741359,"Tonnes of CO2 equivalent",18797648,58453.3890417412,-8542.85920595026
"25","Spain",255064.527643746,-17808.7943744744,47331545,17808.7943744744,237255.733269271,0.389801640558264,0.919251392994742,0.638543693814929,"Tonnes of CO2 equivalent",287710272,-100768.889622397,-167765.137870089
"26","Sweden",40694.8916684342,-16684.3341122336,10415812,16684.3341122336,24010.5575562006,0.0593311791628356,0.871325832636782,0.966472297654085,"Tonnes of CO2 equivalent",71478313,50018.2201796322,-16978.0280680593
"27","Switzerland",35506.2480311857,-750.032145546214,8704542,750.032145546214,34756.2158856395,0.0513324089591328,0.192190805539728,0.94994761557618,"Tonnes of CO2 equivalent",54933879,42419.8923065722,-24576.3559411193
