"","country","population","gdp","political_engagement_score","ISO","protected_areas_2022_percent","total_investment_million_usd","municipal_solid_waste","emissions_per_capita","municipal_solid_waste_per_capita","investment_per_capita","emissions_per_capita_scaled","municipal_solid_waste_per_capita_scaled","political_engagement_score_scaled","investment_per_capita_scaled","protected_areas_2022_percent_scaled","dim_1","dim_2","quadrant"
"11","Cyprus",1198575,39544.68359375,8.27,"CY",38.7208405,88.523306101,769485.125,6749.550626,6419.99979141898,73.8571270892518,-0.539658424350668,-0.760663518331067,-0.5865,-0.832335427210595,-0.0566213813340852,-0.583859443146748,-0.529691361708936,"Bottom Left"
"12","Germany",83132800,53784.78125,13.17,"DE",37.5871277,3167.105862023,50627876,665883.6332,6090.00009623157,38.0969468371449,-0.820689579190233,-0.721564026532805,-0.3415,-0.913515342827895,-0.0842426933050344,-0.800864468658747,-0.404451607226586,"Bottom Left"
"13","Denmark",5818553,57821.19921875,20,"DN",16.9702816,419.858197848,4910858.5,27280.03434,8439.99960127544,72.1585242667722,-0.625142138987042,-1,0,-0.836191460173071,-0.586543044844815,-0.700113711189633,-0.284546901003577,"Bottom Left"
"14","Algeria",40606052,11826.1650390625,2.61,"DZ",4.6404362,10.689743816,12378740,173000.6505,3048.49631774101,0.263254940815226,-0.738196314420537,-0.361196263241568,-0.8695,-0.999402379581687,-0.886942322639838,-0.662796304184744,-0.898968940444305,"Bottom Left"
"15","Spain",47076780,40985.55859375,11.38,"ES",28.1166744,1908.409908361,22408548,231914.2275,4760.00015294164,40.5382421729141,-0.756133793811047,-0.56398108741881,-0.431,-0.90797330842098,-0.314976919032755,-0.7177032525326,-0.503190045490747,"Bottom Left"
"16","Estonia",1326590,36956.28515625,7.8,"ES",21.4095879,265.919938263,489511.71875,14905.6687,3690.00006595859,200.453748530443,-0.588149025140281,-0.437203819938683,-0.61,-0.544945851051354,-0.478385613573949,-0.557959984099961,-0.570666292925061,"Bottom Left"
"17","Finland",5520314,48814.30859375,13.38,"FI",13.3991909,736.035890629,3124497.75,38992.49746,5660.00004709877,133.332250779394,-0.647005423257977,-0.670616151005912,-0.331,-0.697319734100108,-0.673547628634691,-0.651727568807564,-0.47277347254696,"Bottom Left"
"18","France",67059888,46110.18359375,8.33,"FR",28.3997669,1985.830379709,36748820,302327.0747,5480.00020518973,29.6127899842153,-0.77236179534537,-0.649289154511524,-0.5835,-0.932775400594638,-0.308079769896628,-0.7477472671786,-0.598271034098253,"Bottom Left"
"19","United Kingdom",66460344,46290.12109375,9.88,"GB",27.7695599,16868.201282856,30771140,335363.1883,4630.00010953901,253.808515990468,-0.778709034649552,-0.548578237946756,-0.506,-0.423824103631463,-0.323433873822486,-0.732682875308993,-0.45305159549079,"Bottom Left"
"20","Greece",10716322,30465.44921875,8.93,"GR",35.2163315,113.375698596,5615352.5,53372.47579,5239.99978724044,10.5797211576882,-0.666219251876219,-0.620853084690736,-0.5535,-0.975982758901639,-0.142003795993247,-0.657146018439122,-0.555697310978977,"Bottom Left"
"21","Croatia",4067500,28829.35546875,7.85,"HR",38.5095253,185.118915962,1810037.5,17998.54832,4450,45.5117187368162,-0.59968919370853,-0.527251209742655,-0.6075,-0.896682917686487,-0.0617697778798449,-0.585201596915355,-0.556190539113266,"Bottom Left"
"22","Hungary",9769949,32643.490234375,1.41,"HU",22.6009045,144.992682312,3780970.25,50691.27806,3869.99998669389,14.840679548276,-0.663064667050654,-0.458530825772677,-0.9295,-0.966309870226075,-0.449360866332169,-0.622157898795058,-0.840834147311649,"Bottom Left"
"23","Indonesia",261115456,10531.1982421875,9.37,"ID",12.1656971,19821.564501297,65200000,602593.708,2496.97972685309,75.9111115249225,-0.814576931427773,-0.295850692513747,-0.5315,-0.827672635189093,-0.703599963815199,-0.710831683644968,-0.625154519800858,"Bottom Left"
"24","India",1352617344,6496.8076171875,13.85,"IN",7.5188894,27682.9365694559,189750000,2648779.133,1402.83577496401,20.4661996182831,-0.905197687422288,-0.166212777397764,-0.3075,-0.953539262209923,-0.816812873778559,-0.757400705417383,-0.538570427197696,"Bottom Left"
